"","ServiceType","ServiceName","Service_town","Service_Postcode","ServiceProvider","Date_Reg","Council_Area_Name","MinGrade_change","Publication_of_Latest_Grading","KQ_Support_Wellbeing","KQ_Care_and_Support_Planning","KQ_Setting","KQ_Staff_Team","KQ_Leadership","KQ_Care_Play_and_Learning","Complaints_upheld_2425","Enforcements_issued_2425","any_requirements_2223","any_requirements_2324","any_requirements_2425","Last_inspection_Date","first_reqs_2425","Average","Complaints_upheld_since_22_23","Enforcements_upheld_since_22_23"
"18","Voluntary or Not for Profit","St. Devenicks Playgroup","Aberdeen","AB15 9AP","St. Devenicks Playgroup","2002_4","Aberdeen City","Same","22/04/2024",NA,NA,4,5,5,4,NA,NA,NA,"Inspected but no requirements",NA,"14/03/2024",NA,4.5,0,0
"19","Voluntary or Not for Profit","Fersands Family Centre Nursery & Creche","Aberdeen","AB24 2QY","Fersands & Fountain Community Project","2002_4","Aberdeen City","Same","23/03/2020",NA,NA,5,4,4,5,NA,NA,NA,NA,NA,"14/02/2020",NA,4.5,0,0
"20","Voluntary or Not for Profit","Albyn School Nurseries","Aberdeen","AB15 4PB","Albyn School Limited","2002_4","Aberdeen City","Same","10/07/2018",NA,NA,5,4,5,4,NA,NA,NA,NA,NA,"21/09/2021",NA,4.5,0,0
"21","Private","Bridges Pre-school Nursery - Silverburn","Aberdeen","AB23 8GD","The Bridges Partnership LLP","2006_9","Aberdeen City","Same","11/10/2022",NA,NA,5,4,5,4,NA,NA,"Inspected but no requirements",NA,NA,"21/09/2022",NA,4.5,0,0
"22","Private","Summers Nursery @ St Swithin Street","Aberdeen","AB10 6XJ","Summers Nursery Limited","2010_7","Aberdeen City","Same","06/05/2019",NA,NA,4,5,4,5,NA,NA,NA,NA,NA,"11/04/2019",NA,4.5,0,0
"23","Private","First Class Early Learning and Childcare","Aberdeen","AB15 8QW","Bright Horizons Family Solutions Ltd","2015_3","Aberdeen City","Same","08/09/2023",NA,NA,4,5,5,4,NA,NA,"Inspected but no requirements","Inspected but no requirements",NA,"28/07/2023",NA,4.5,0,0
"24","Private","Bright Horizons @ 24 St. Swithin Street","Aberdeen","AB10 6XD","Bright Horizons Family Solutions Ltd","2016_3","Aberdeen City","Same","03/12/2019",NA,NA,4,5,4,5,NA,NA,NA,NA,NA,"25/09/2019",NA,4.5,1,0
"25","Private","Beech House Nursery","Aberdeen","AB11 8HR","Childcare Scotland Properties Limited","2019_9","Aberdeen City","Same","07/12/2022",NA,NA,4,4,5,5,NA,NA,"Inspected but no requirements",NA,NA,"08/11/2022",NA,4.5,1,0
"26","Voluntary or Not for Profit","Milltimber Playgroup","Aberdeen","AB13 0JT","Milltimber Playgroup","2002_4","Aberdeen City","Same","05/02/2020",NA,NA,4,4,4,4,NA,NA,NA,NA,NA,"13/01/2020",NA,4,0,0
"27","Private","Abacus Pre-school Nursery - Rosemount","Aberdeen","AB25 2RR","Abacus Pre-School Nursery","2002_6","Aberdeen City","Same","18/10/2021",NA,NA,4,4,4,4,NA,NA,NA,NA,NA,"15/09/2021",NA,4,0,0
"28","Private","Tree House Early Care and Education Centre","Aberdeen","AB10 7AQ","Bright Horizons Family Solutions Ltd","2004_3","Aberdeen City","Same","14/11/2019",NA,NA,4,4,4,4,NA,NA,NA,NA,NA,"20/08/2019",NA,4,0,0
"29","Private","Thrive Childcare and Education Happitots Cove Bay","Aberdeen","AB12 3NX","Thrive Childcare and Education Limited","2008_7","Aberdeen City","Same","28/11/2022",NA,NA,4,4,4,4,NA,NA,"Inspected but no requirements",NA,NA,"12/10/2022",NA,4,0,0
"30","Private","Great Western Pre-School @ Kingswells","Aberdeen","AB15 8TB","Lorndale Aberdeen Limited","2014_5","Aberdeen City","Same","16/07/2021",NA,NA,4,4,4,4,NA,NA,NA,NA,NA,"23/06/2021",NA,4,0,0
"31","Private","The Kindergarten Nursery Limited","Aberdeen","AB25 2LT","The Kindergarten Nursery Limited","2014_4","Aberdeen City","Same","23/11/2021",NA,NA,4,4,4,4,NA,NA,NA,NA,NA,"03/09/2021",NA,4,0,0
"32","Private","Banana Moon Day Nursery Dyce","Aberdeen","AB21 7LW","Cygnus Enterprises Limited","2015_9","Aberdeen City","Same","02/11/2021",NA,NA,4,4,4,4,NA,NA,NA,NA,NA,"07/10/2021",NA,4,0,0
"33","Voluntary or Not for Profit","Middlefield Community Project","Aberdeen","AB16 7UR","Middlefield Community Project, a Scottish Charitable Incorporated Organisation","2016_7","Aberdeen City","Same","29/01/2019",NA,NA,4,4,4,4,NA,NA,NA,NA,NA,"20/11/2018",NA,4,0,0
"34","Voluntary or Not for Profit","Flexible Childcare Services Scotland (Cummings Park)","Aberdeen","AB16 7AS","Flexible Childcare Services Scotland SCIO","2022_1","Aberdeen City","Improve","21/05/2024",NA,NA,4,4,4,4,NA,NA,"Yes","Yes","Inspected but no requirements","24/04/2024",NA,4,0,0
"35","Private","Little Clouds Nursery","Aberdeen","AB12 3DF","Iona Nursery Limited","2017_10","Aberdeen City","Same","20/03/2024",NA,NA,3,4,4,4,NA,NA,NA,"Inspected but no requirements",NA,"15/02/2024",NA,3.75,0,0
"36","Private","Little Trees","Aberdeen","AB22 8GW","Little Trees Children’s Nursery Ltd","2023_8","Aberdeen City","Same","13/02/2024",NA,NA,3,4,4,4,NA,NA,NA,"Inspected but no requirements",NA,"23/01/2024",NA,3.75,0,0
"37","Voluntary or Not for Profit","Flexible Childcare Services Scotland (Tillydrone)","Aberdeen","AB24 2YS","Flexible Childcare Services Scotland SCIO","2022_1","Aberdeen City","Same","14/11/2023",NA,NA,4,3,4,4,NA,NA,"Inspected but no requirements","Inspected but no requirements",NA,"10/10/2023",NA,3.75,1,0
"38","Private","Little Dreams Nursery","Aberdeen","AB11 6EL","LD Nursery Ltd","2012_2","Aberdeen City","Same","18/08/2023",NA,NA,4,3,4,3,NA,NA,"Inspected but no requirements","Inspected but no requirements",NA,"29/06/2023",NA,3.5,0,0
"39","Private","Copper Pots Day Nursery","Aberdeen","AB24 4EB","Copper Pots Montessori  Ltd","2023_1","Aberdeen City","Improve","29/05/2024",NA,NA,4,4,3,3,NA,NA,NA,"Yes","Inspected but no requirements","25/04/2024",NA,3.5,0,0
"40","Private","Bruce Nursery","Aberdeen","AB25 2BX","Nurseries Direct Ltd","2004_7","Aberdeen City","Same","10/04/2024",NA,NA,3,4,3,3,NA,NA,"Yes","Yes",NA,"05/03/2024",NA,3.25,0,0
"41","Private","J. Puddleducks @ Victoria Street","Aberdeen","AB21 7DN","J. Puddleducks Childcare Limited","2009_3","Aberdeen City","Same","08/06/2023",NA,NA,3,3,3,3,NA,NA,"Inspected but no requirements","Inspected but no requirements","Inspected but no requirements","02/05/2024",NA,3,0,0
"42","Local Authority","Riverbank School Nursery","Aberdeen","AB24 2XL","Aberdeen City Council","2002_4","Aberdeen City","Same","21/12/2023",NA,NA,2,2,2,2,NA,NA,NA,"Yes","Inspected but no requirements","15/05/2024",NA,2,0,0
